appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
497940,Destiny of Ancient Kingdoms,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,,95,86,0,"50,000 .. 100,000",127,0,138,0,0,0,0,1
773520,Refight:Burning Engine,梵天游戏,梵天游戏,,276,132,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
2185490,奇克八号盲目发射 Blind No.8 Chick Shoot,PAN SHEN,PAN SHEN,,5,0,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
259570,EDEN STAR,Flix Interactive,Flix Interactive,,591,531,0,"50,000 .. 100,000",521,0,508,0,0,0,0,0
223630,AirBuccaneers,LudoCraft Ltd.,LudoCraft Ltd.,,416,266,0,"50,000 .. 100,000",383,0,182,0,0,0,0,2
1103780,Top Speed 2: Racing Legends,T-Bull,T-Bull,,103,67,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
1495640,Estigma [Steam Edition],Vikintor,Vikintor Interactive,,170,18,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
399520,Comedy Quest,Trav Nash,Crothers Games,,257,46,0,"50,000 .. 100,000",98,0,122,0,0,0,0,0
976940,永冻之壳 The Shell of Permafrost,YUMMI Studio,迷糊的安安,,1150,26,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
418110,March of War: FaceOff - XL,ISOTX,ISOTX,,116,44,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
329020,Battlegrounds of Eldhelm,Essence Ltd.,Essence Ltd.,,146,64,0,"50,000 .. 100,000",157,0,157,0,0,0,0,0
1318520,Dört Model Müzesi,GameWork Studios,GameWork Studios,,10,3,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1252250,The Celtos,Celtos,Soft Knight Studios,,117,31,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
692920,XXZ,L. Stotch,L. Stotch,,463,172,0,"50,000 .. 100,000",86,0,76,0,0,0,0,0
798930,Swing Dunk (Beta),BucketPlay.inc,BucketPlay.inc,,51,14,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
2880180,Crimson Hell,The Vanished Moths,The Vanished Moths,,22,12,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
2324070,文字遊戯 第零章(日本語版),"Team9, ESQUADRA,inc.",Flyhigh Works,,65,2,0,"50,000 .. 100,000",7,0,7,0,0,0,0,1
1195830,副作用之瞳-Tlicolity Eyes-,"IDEA FACTORY, Frontier Works, JoyMoe Interactive Entertainment Limited",JoyMoe Interactive Entertainment Limited,,101,53,0,"50,000 .. 100,000",329,0,329,0,0,0,0,0
1991850,Navy War: Battleship Games,XDEVS LTD,XDEVS LTD,,139,77,0,"50,000 .. 100,000",0,0,0,0,0,0,0,6
