appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,owners_min,owners_max,owners_median,release_date,genres,is_free,metacritic_score,dlc_count
281990,Stellaris,Paradox Development Studio,Paradox Interactive,,159527,25906,0,"2,000,000 .. 5,000,000",8617,1103,1425,630,3999,3999,0,13727,2000000,5000000,3500000.0,"9 May, 2016","Simulation, Strategy",False,78,32
39210,FINAL FANTASY XIV Online,Square Enix,Square Enix,,70254,9782,0,"2,000,000 .. 5,000,000",31005,1317,3411,489,1999,1999,0,19824,2000000,5000000,3500000.0,"18 Feb, 2014","Massively Multiplayer, RPG",False,83,18
351940,The Descendant,Gaming Corps AB,"Microids Indie, Microids",,6312,811,0,"2,000,000 .. 5,000,000",711,25,255,25,1499,1499,0,15,2000000,5000000,3500000.0,"24 Mar, 2016","Adventure, Casual, Indie",False,59,0
630,Alien Swarm,Valve,Valve,,20179,1095,0,"2,000,000 .. 5,000,000",469,0,131,0,0,0,0,23,2000000,5000000,3500000.0,"19 Jul, 2010","Action, Free To Play",True,77,0
504370,Battlerite,Stunlock Studios,Stunlock Studios,,50196,9152,0,"2,000,000 .. 5,000,000",831,53,178,53,0,0,0,103,2000000,5000000,3500000.0,"8 Nov, 2017","Action, Free To Play",True,85,4
355840,Survarium,Vostok Games,Vostok Games,,13832,11623,0,"2,000,000 .. 5,000,000",1732,0,57,0,0,0,0,0,2000000,5000000,3500000.0,"2 Apr, 2015","Action, Free To Play, Massively Multiplayer, RPG, Early Access",False,,0
613100,House Flipper,Empyrean,"Frozen District, PlayWay S.A.",,89596,5548,0,"2,000,000 .. 5,000,000",1281,224,597,288,2499,2499,0,1311,2000000,5000000,3500000.0,"17 May, 2018","Indie, Simulation",False,67,10
212500,The Lord of the Rings Online,Standing Stone Games,Daybreak Game Company LLC,,17099,3896,0,"2,000,000 .. 5,000,000",2263,61,185,61,0,0,0,793,2000000,5000000,3500000.0,"6 Jun, 2012","Action, Adventure, Massively Multiplayer, RPG, Free To Play",True,,0
620980,Beat Saber,Beat Games,Beat Games,,71341,3271,0,"2,000,000 .. 5,000,000",1616,42,632,60,2999,2999,0,423,2000000,5000000,3500000.0,"21 May, 2019",Indie,False,93,245
871720,Ultimate Custom Night,Scott Cawthon,Scott Cawthon,,55394,2879,0,"2,000,000 .. 5,000,000",286,7,74,8,0,0,0,200,2000000,5000000,3500000.0,"27 Jun, 2018","Action, Free To Play, Indie",True,,0
962130,Grounded,Obsidian Entertainment,Xbox Game Studios,,75482,9035,0,"2,000,000 .. 5,000,000",2501,429,879,483,3999,3999,0,2394,2000000,5000000,3500000.0,"27 Sep, 2022","Action, Adventure",False,83,1
8500,EVE Online,CCP,CCP,,26813,9575,0,"2,000,000 .. 5,000,000",7167,2751,210,1919,0,0,0,3705,2000000,5000000,3500000.0,"15 Dec, 2010","Action, Massively Multiplayer, RPG, Strategy, Free To Play",True,88,22
760160,Vampire: The Masquerade - Bloodhunt,Sharkmob AB,Sharkmob AB,,43433,13651,0,"2,000,000 .. 5,000,000",450,104,119,119,0,0,0,362,2000000,5000000,3500000.0,"27 Apr, 2022","Action, Free To Play",True,,0
601510,Yu-Gi-Oh! Duel Links,KONAMI,KONAMI,,36345,7285,0,"2,000,000 .. 5,000,000",4286,379,278,609,0,0,0,1856,2000000,5000000,3500000.0,"16 Nov, 2017","Strategy, Free To Play",True,,0
674940,Stick Fight: The Game,Landfall West,Landfall,,114720,7938,0,"2,000,000 .. 5,000,000",415,20,198,28,199,499,60,265,2000000,5000000,3500000.0,"28 Sep, 2017","Action, Casual, Indie",False,,1
884660,CRSED: F.O.A.D.,"Darkflow Software, Matter Team",Gaijin Network Ltd,,30411,8179,0,"2,000,000 .. 5,000,000",944,113,62,113,0,0,0,96,2000000,5000000,3500000.0,"15 Jun, 2018","Action, Massively Multiplayer, Free To Play",True,,0
42710,Call of Duty: Black Ops,Treyarch,Activision,,15124,2010,0,"2,000,000 .. 5,000,000",4166,2,509,2,3999,3999,0,213,2000000,5000000,3500000.0,"8 Nov, 2010",Action,False,81,4
